,label,text,original_length,text_untokenized
10,0,"['i', 'm', 'gonna', 'be', 'home', 'soon', 'and', 'i', 'don', 't', 'want', 'to', 'talk', 'about', 'this', 'stuff', 'anymore', 'tonight', 'k', 'i', 've', 'cried', 'enough', 'today']",109,i m gonna be home soon and i don t want to talk about this stuff anymore tonight k i ve cried enough today
11,1,"['six', 'chances', 'to', 'win', 'cash', 'from', 'to', 'pounds', 'txt', 'csh', 'and', 'send', 'to', 'cost', 'p', 'day', 'days', 'tsandcs', 'apply', 'reply', 'hl', 'info']",136,six chances to win cash from to pounds txt csh and send to cost p day days tsandcs apply reply hl info
12,1,"['urgent', 'you', 'have', 'won', 'a', 'week', 'free', 'membership', 'in', 'our', 'prize', 'jackpot', 'txt', 'the', 'word', 'claim', 'to', 'no', 't', 'c', 'www', 'dbuk', 'net', 'lccltd', 'pobox', 'ldnw', 'a', 'rw']",156,urgent you have won a week free membership in our prize jackpot txt the word claim to no t c www dbuk net lccltd pobox ldnw a rw
13,0,"['i', 've', 'been', 'searching', 'for', 'the', 'right', 'words', 'to', 'thank', 'you', 'for', 'this', 'breather', 'i', 'promise', 'i', 'wont', 'take', 'your', 'help', 'for', 'granted', 'and', 'will', 'fulfil', 'my', 'promise', 'you', 'have', 'been', 'wonderful', 'and', 'a', 'blessing', 'at', 'all', 'times']",196,i ve been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times
14,0,"['i', 'have', 'a', 'date', 'on', 'sunday', 'with', 'will']",35,i have a date on sunday with will
15,1,"['xxxmobilemovieclub', 'to', 'use', 'your', 'credit', 'click', 'the', 'wap', 'link', 'in', 'the', 'next', 'txt', 'message', 'or', 'click', 'here', 'http', 'wap', 'xxxmobilemovieclub', 'com', 'n', 'qjkgighjjgcbl']",149,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here http wap xxxmobilemovieclub com n qjkgighjjgcbl
16,0,"['oh', 'k', 'i', 'm', 'watching', 'here']",26,oh k i m watching here
17,0,"['eh', 'u', 'remember', 'how', 'spell', 'his', 'name', 'yes', 'i', 'did', 'he', 'v', 'naughty', 'make', 'until', 'i', 'v', 'wet']",81,eh u remember how spell his name yes i did he v naughty make until i v wet
18,0,"['fine', 'if', 'that', 's', 'the', 'way', 'u', 'feel', 'that', 's', 'the', 'way', 'its', 'gota', 'b']",58,fine if that s the way u feel that s the way its gota b
19,1,"['england', 'v', 'macedonia', 'dont', 'miss', 'the', 'goals', 'team', 'news', 'txt', 'ur', 'national', 'team', 'to', 'eg', 'england', 'to', 'try', 'wales', 'scotland', 'txt', 'poboxox', 'w', 'wq']",156,england v macedonia dont miss the goals team news txt ur national team to eg england to try wales scotland txt poboxox w wq
20,0,"['is', 'that', 'seriously', 'how', 'you', 'spell', 'his', 'name']",41,is that seriously how you spell his name
21,0,"['i', 'm', 'going', 'to', 'try', 'for', 'months', 'ha', 'ha', 'only', 'joking']",49,i m going to try for months ha ha only joking
22,0,"['so', 'pay', 'first', 'lar', 'then', 'when', 'is', 'da', 'stock', 'comin']",53,so pay first lar then when is da stock comin
23,0,"['aft', 'i', 'finish', 'my', 'lunch', 'then', 'i', 'go', 'str', 'down', 'lor', 'ard', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'already']",88,aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch already
24,0,"['ffffffffff', 'alright', 'no', 'way', 'i', 'can', 'meet', 'up', 'with', 'you', 'sooner']",57,ffffffffff alright no way i can meet up with you sooner
25,0,"['just', 'forced', 'myself', 'to', 'eat', 'a', 'slice', 'i', 'm', 'really', 'not', 'hungry', 'tho', 'this', 'sucks', 'mark', 'is', 'getting', 'worried', 'he', 'knows', 'i', 'm', 'sick', 'when', 'i', 'turn', 'down', 'pizza', 'lol']",144,just forced myself to eat a slice i m really not hungry tho this sucks mark is getting worried he knows i m sick when i turn down pizza lol
26,0,"['lol', 'your', 'always', 'so', 'convincing']",30,lol your always so convincing
27,0,"['did', 'you', 'catch', 'the', 'bus', 'are', 'you', 'frying', 'an', 'egg', 'did', 'you', 'make', 'a', 'tea', 'are', 'you', 'eating', 'your', 'mom', 's', 'left', 'over', 'dinner', 'do', 'you', 'feel', 'my', 'love']",134,did you catch the bus are you frying an egg did you make a tea are you eating your mom s left over dinner do you feel my love
28,0,"['i', 'm', 'back', 'amp', 'we', 're', 'packing', 'the', 'car', 'now', 'i', 'll', 'let', 'you', 'know', 'if', 'there', 's', 'room']",75,i m back amp we re packing the car now i ll let you know if there s room
29,0,"['ahhh', 'work', 'i', 'vaguely', 'remember', 'that', 'what', 'does', 'it', 'feel', 'like', 'lol']",64,ahhh work i vaguely remember that what does it feel like lol
30,0,"['wait', 'that', 's', 'still', 'not', 'all', 'that', 'clear', 'were', 'you', 'not', 'sure', 'about', 'me', 'being', 'sarcastic', 'or', 'that', 'that', 's', 'why', 'x', 'doesn', 't', 'want', 'to', 'live', 'with', 'us']",130,wait that s still not all that clear were you not sure about me being sarcastic or that that s why x doesn t want to live with us
31,0,"['yeah', 'he', 'got', 'in', 'at', 'and', 'was', 'v', 'apologetic', 'n', 'had', 'fallen', 'out', 'and', 'she', 'was', 'actin', 'like', 'spoilt', 'child', 'and', 'he', 'got', 'caught', 'up', 'in', 'that', 'till', 'but', 'we', 'won', 't', 'go', 'there', 'not', 'doing', 'too', 'badly', 'cheers', 'you']",189,yeah he got in at and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till but we won t go there not doing too badly cheers you
32,0,"['k', 'tell', 'me', 'anything', 'about', 'you']",29,k tell me anything about you
33,0,"['for', 'fear', 'of', 'fainting', 'with', 'the', 'of', 'all', 'that', 'housework', 'you', 'just', 'did', 'quick', 'have', 'a', 'cuppa']",84,for fear of fainting with the of all that housework you just did quick have a cuppa
34,1,"['thanks', 'for', 'your', 'subscription', 'to', 'ringtone', 'uk', 'your', 'mobile', 'will', 'be', 'charged', 'month', 'please', 'confirm', 'by', 'replying', 'yes', 'or', 'no', 'if', 'you', 'reply', 'no', 'you', 'will', 'not', 'be', 'charged']",159,thanks for your subscription to ringtone uk your mobile will be charged month please confirm by replying yes or no if you reply no you will not be charged
35,0,"['yup', 'ok', 'i', 'go', 'home', 'look', 'at', 'the', 'timings', 'then', 'i', 'msg', 'again', 'xuhui', 'going', 'to', 'learn', 'on', 'nd', 'may', 'too', 'but', 'her', 'lesson', 'is', 'at', 'am']",123,yup ok i go home look at the timings then i msg again xuhui going to learn on nd may too but her lesson is at am
36,0,"['oops', 'i', 'll', 'let', 'you', 'know', 'when', 'my', 'roommate', 's', 'done']",47,oops i ll let you know when my roommate s done
37,0,"['i', 'see', 'the', 'letter', 'b', 'on', 'my', 'car']",28,i see the letter b on my car
38,0,"['anything', 'lor', 'u', 'decide']",27,anything lor u decide
39,0,"['hello', 'how', 's', 'you', 'and', 'how', 'did', 'saturday', 'go', 'i', 'was', 'just', 'texting', 'to', 'see', 'if', 'you', 'd', 'decided', 'to', 'do', 'anything', 'tomo', 'not', 'that', 'i', 'm', 'trying', 'to', 'invite', 'myself', 'or', 'anything']",155,hello how s you and how did saturday go i was just texting to see if you d decided to do anything tomo not that i m trying to invite myself or anything
40,0,"['pls', 'go', 'ahead', 'with', 'watts', 'i', 'just', 'wanted', 'to', 'be', 'sure', 'do', 'have', 'a', 'great', 'weekend', 'abiola']",82,pls go ahead with watts i just wanted to be sure do have a great weekend abiola
41,0,"['did', 'i', 'forget', 'to', 'tell', 'you', 'i', 'want', 'you', 'i', 'need', 'you', 'i', 'crave', 'you', 'but', 'most', 'of', 'all', 'i', 'love', 'you', 'my', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummy']",142,did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy
42,1,"['rodger', 'burns', 'msg', 'we', 'tried', 'to', 'call', 'you', 're', 'your', 'reply', 'to', 'our', 'sms', 'for', 'a', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'please', 'call', 'now', 'for', 'delivery', 'tomorrow']",172,rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now for delivery tomorrow
43,0,"['who', 'are', 'you', 'seeing']",19,who are you seeing
44,0,"['great', 'i', 'hope', 'you', 'like', 'your', 'man', 'well', 'endowed', 'i', 'am', 'inches']",72,great i hope you like your man well endowed i am inches
45,0,"['no', 'calls', 'messages', 'missed', 'calls']",32,no calls messages missed calls
46,0,"['didn', 't', 'you', 'get', 'hep', 'b', 'immunisation', 'in', 'nigeria']",45,didn t you get hep b immunisation in nigeria
47,0,"['fair', 'enough', 'anything', 'going', 'on']",31,fair enough anything going on
48,0,"['yeah', 'hopefully', 'if', 'tyler', 'can', 't', 'do', 'it', 'i', 'could', 'maybe', 'ask', 'around', 'a', 'bit']",67,yeah hopefully if tyler can t do it i could maybe ask around a bit
49,0,"['u', 'don', 't', 'know', 'how', 'stubborn', 'i', 'am', 'i', 'didn', 't', 'even', 'want', 'to', 'go', 'to', 'the', 'hospital', 'i', 'kept', 'telling', 'mark', 'i', 'm', 'not', 'a', 'weak', 'sucker', 'hospitals', 'are', 'for', 'weak', 'suckers']",148,u don t know how stubborn i am i didn t even want to go to the hospital i kept telling mark i m not a weak sucker hospitals are for weak suckers
50,0,"['what', 'you', 'thinked', 'about', 'me', 'first', 'time', 'you', 'saw', 'me', 'in', 'class']",58,what you thinked about me first time you saw me in class
51,0,"['a', 'gram', 'usually', 'runs', 'like', 'a', 'half', 'eighth', 'is', 'smarter', 'though', 'and', 'gets', 'you', 'almost', 'a', 'whole', 'second', 'gram', 'for']",124,a gram usually runs like a half eighth is smarter though and gets you almost a whole second gram for
52,0,"['k', 'fyi', 'x', 'has', 'a', 'ride', 'early', 'tomorrow', 'morning', 'but', 'he', 's', 'crashing', 'at', 'our', 'place', 'tonight']",80,k fyi x has a ride early tomorrow morning but he s crashing at our place tonight
53,0,"['wow', 'i', 'never', 'realized', 'that', 'you', 'were', 'so', 'embarassed', 'by', 'your', 'accomodations', 'i', 'thought', 'you', 'liked', 'it', 'since', 'i', 'was', 'doing', 'the', 'best', 'i', 'could', 'and', 'you', 'always', 'seemed', 'so', 'happy', 'about', 'the', 'cave', 'i', 'm', 'sorry', 'i', 'didn', 't', 'and', 'don', 't', 'have', 'more', 'to', 'give', 'i', 'm', 'sorry', 'i', 'offered', 'i', 'm', 'sorry', 'your', 'room', 'was', 'so', 'embarassing']",291,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave i m sorry i didn t and don t have more to give i m sorry i offered i m sorry your room was so embarassing
54,1,"['sms', 'ac', 'sptv', 'the', 'new', 'jersey', 'devils', 'and', 'the', 'detroit', 'red', 'wings', 'play', 'ice', 'hockey', 'correct', 'or', 'incorrect', 'end', 'reply', 'end', 'sptv']",120,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv
55,0,"['do', 'you', 'know', 'what', 'mallika', 'sherawat', 'did', 'yesterday', 'find', 'out', 'now', 'url']",76,do you know what mallika sherawat did yesterday find out now url
56,1,"['congrats', 'year', 'special', 'cinema', 'pass', 'for', 'is', 'yours', 'call', 'now', 'c', 'suprman', 'v', 'matrix', 'starwars', 'etc', 'all', 'free', 'bx', 'ip', 'we', 'pm', 'dont', 'miss', 'out']",161,congrats year special cinema pass for is yours call now c suprman v matrix starwars etc all free bx ip we pm dont miss out
57,0,"['sorry', 'i', 'll', 'call', 'later', 'in', 'meeting']",34,sorry i ll call later in meeting
58,0,"['tell', 'where', 'you', 'reached']",22,tell where you reached
59,0,"['yes', 'gauti', 'and', 'sehwag', 'out', 'of', 'odi', 'series']",40,yes gauti and sehwag out of odi series
60,0,"['your', 'gonna', 'have', 'to', 'pick', 'up', 'a', 'burger', 'for', 'yourself', 'on', 'your', 'way', 'home', 'i', 'can', 't', 'even', 'move', 'pain', 'is', 'killing', 'me']",108,your gonna have to pick up a burger for yourself on your way home i can t even move pain is killing me
61,0,"['ha', 'ha', 'ha', 'good', 'joke', 'girls', 'are', 'situation', 'seekers']",48,ha ha ha good joke girls are situation seekers
62,0,"['its', 'a', 'part', 'of', 'checking', 'iq']",25,its a part of checking iq
63,0,"['sorry', 'my', 'roommates', 'took', 'forever', 'it', 'ok', 'if', 'i', 'come', 'by', 'now']",56,sorry my roommates took forever it ok if i come by now
64,0,"['ok', 'lar', 'i', 'double', 'check', 'wif', 'da', 'hair', 'dresser', 'already', 'he', 'said', 'wun', 'cut', 'v', 'short', 'he', 'said', 'will', 'cut', 'until', 'i', 'look', 'nice']",110,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice
65,1,"['as', 'a', 'valued', 'customer', 'i', 'am', 'pleased', 'to', 'advise', 'you', 'that', 'following', 'recent', 'review', 'of', 'your', 'mob', 'no', 'you', 'are', 'awarded', 'with', 'a', 'bonus', 'prize', 'call']",153,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a bonus prize call
66,0,"['today', 'is', 'song', 'dedicated', 'day', 'which', 'song', 'will', 'u', 'dedicate', 'for', 'me', 'send', 'this', 'to', 'all', 'ur', 'valuable', 'frnds', 'but', 'first', 'rply', 'me']",124,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me
67,1,"['urgent', 'ur', 'awarded', 'a', 'complimentary', 'trip', 'to', 'eurodisinc', 'trav', 'aco', 'entry', 'or', 'to', 'claim', 'txt', 'dis', 'to', 'morefrmmob', 'shracomorsglsuplt', 'ls', 'aj']",161,urgent ur awarded a complimentary trip to eurodisinc trav aco entry or to claim txt dis to morefrmmob shracomorsglsuplt ls aj
68,1,"['did', 'you', 'hear', 'about', 'the', 'new', 'divorce', 'barbie', 'it', 'comes', 'with', 'all', 'of', 'ken', 's', 'stuff']",80,did you hear about the new divorce barbie it comes with all of ken s stuff
69,0,"['i', 'plane', 'to', 'give', 'on', 'this', 'month', 'end']",34,i plane to give on this month end
70,0,"['wah', 'lucky', 'man', 'then', 'can', 'save', 'money', 'hee']",46,wah lucky man then can save money hee
71,0,"['finished', 'class', 'where', 'are', 'you']",29,finished class where are you
72,0,"['hi', 'babe', 'im', 'at', 'home', 'now', 'wanna', 'do', 'something', 'xx']",45,hi babe im at home now wanna do something xx
73,0,"['k', 'k', 'where', 'are', 'you', 'how', 'did', 'you', 'performed']",42,k k where are you how did you performed
74,0,"['u', 'can', 'call', 'me', 'now']",20,u can call me now
75,0,"['i', 'am', 'waiting', 'machan', 'call', 'me', 'once', 'you', 'free']",43,i am waiting machan call me once you free
76,0,"['thats', 'cool', 'i', 'am', 'a', 'gentleman', 'and', 'will', 'treat', 'you', 'with', 'dignity', 'and', 'respect']",73,thats cool i am a gentleman and will treat you with dignity and respect
77,0,"['i', 'like', 'you', 'peoples', 'very', 'much', 'but', 'am', 'very', 'shy', 'pa']",50,i like you peoples very much but am very shy pa
78,0,"['does', 'not', 'operate', 'after', 'or', 'what']",42,does not operate after or what
79,0,"['its', 'not', 'the', 'same', 'here', 'still', 'looking', 'for', 'a', 'job', 'how', 'much', 'do', 'ta', 's', 'earn', 'there']",76,its not the same here still looking for a job how much do ta s earn there
80,0,"['sorry', 'i', 'll', 'call', 'later']",22,sorry i ll call later
81,0,"['k', 'did', 'you', 'call', 'me', 'just', 'now', 'ah']",32,k did you call me just now ah
82,0,"['ok', 'i', 'am', 'on', 'the', 'way', 'to', 'home', 'hi', 'hi']",32,ok i am on the way to home hi hi
83,0,"['you', 'will', 'be', 'in', 'the', 'place', 'of', 'that', 'man']",36,you will be in the place of that man
84,0,"['yup', 'next', 'stop']",14,yup next stop
85,0,"['i', 'call', 'you', 'later', 'don', 't', 'have', 'network', 'if', 'urgnt', 'sms', 'me']",55,i call you later don t have network if urgnt sms me
86,0,"['for', 'real', 'when', 'u', 'getting', 'on', 'yo', 'i', 'only', 'need', 'more', 'tickets', 'and', 'one', 'more', 'jacket', 'and', 'i', 'm', 'done', 'i', 'already', 'used', 'all', 'my', 'multis']",121,for real when u getting on yo i only need more tickets and one more jacket and i m done i already used all my multis
87,0,"['yes', 'i', 'started', 'to', 'send', 'requests', 'to', 'make', 'it', 'but', 'pain', 'came', 'back', 'so', 'i', 'm', 'back', 'in', 'bed', 'double', 'coins', 'at', 'the', 'factory', 'too', 'i', 'gotta', 'cash', 'in', 'all', 'my', 'nitros']",144,yes i started to send requests to make it but pain came back so i m back in bed double coins at the factory too i gotta cash in all my nitros
88,0,"['i', 'm', 'really', 'not', 'up', 'to', 'it', 'still', 'tonight', 'babe']",42,i m really not up to it still tonight babe
89,0,"['ela', 'kano', 'il', 'download', 'come', 'wen', 'ur', 'free']",41,ela kano il download come wen ur free
90,0,"['yeah', 'do', 'don', 't', 'stand', 'to', 'close', 'tho', 'you', 'll', 'catch', 'something']",62,yeah do don t stand to close tho you ll catch something
91,0,"['sorry', 'to', 'be', 'a', 'pain', 'is', 'it', 'ok', 'if', 'we', 'meet', 'another', 'night', 'i', 'spent', 'late', 'afternoon', 'in', 'casualty', 'and', 'that', 'means', 'i', 'haven', 't', 'done', 'any', 'of', 'y', 'stuff', 'moro', 'and', 'that', 'includes', 'all', 'my', 'time', 'sheets', 'and', 'that', 'sorry']",195,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i haven t done any of y stuff moro and that includes all my time sheets and that sorry
92,0,"['smile', 'in', 'pleasure', 'smile', 'in', 'pain', 'smile', 'when', 'trouble', 'pours', 'like', 'rain', 'smile', 'when', 'sum', 'hurts', 'u', 'smile', 'becoz', 'someone', 'still', 'loves', 'to', 'see', 'u', 'smiling']",141,smile in pleasure smile in pain smile when trouble pours like rain smile when sum hurts u smile becoz someone still loves to see u smiling
93,1,"['please', 'call', 'our', 'customer', 'service', 'representative', 'on', 'between', 'am', 'pm', 'as', 'you', 'have', 'won', 'a', 'guaranteed', 'cash', 'or', 'prize']",139,please call our customer service representative on between am pm as you have won a guaranteed cash or prize
94,0,"['havent', 'planning', 'to', 'buy', 'later', 'i', 'check', 'already', 'lido', 'only', 'got', 'show', 'in', 'e', 'afternoon', 'u', 'finish', 'work', 'already']",107,havent planning to buy later i check already lido only got show in e afternoon u finish work already
95,1,"['your', 'free', 'ringtone', 'is', 'waiting', 'to', 'be', 'collected', 'simply', 'text', 'the', 'password', 'mix', 'to', 'to', 'verify', 'get', 'usher', 'and', 'britney', 'fml']",125,your free ringtone is waiting to be collected simply text the password mix to to verify get usher and britney fml
96,0,"['watching', 'telugu', 'movie', 'wat', 'abt', 'u']",33,watching telugu movie wat abt u
97,0,"['i', 'see', 'when', 'we', 'finish', 'we', 'have', 'loads', 'of', 'loans', 'to', 'pay']",51,i see when we finish we have loads of loans to pay
98,0,"['hi', 'wk', 'been', 'ok', 'on', 'hols', 'now', 'yes', 'on', 'for', 'a', 'bit', 'of', 'a', 'run', 'forgot', 'that', 'i', 'have', 'hairdressers', 'appointment', 'at', 'four', 'so', 'need', 'to', 'get', 'home', 'n', 'shower', 'beforehand', 'does', 'that', 'cause', 'prob', 'for', 'u', 'ham']",184,hi wk been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u ham
99,0,"['please', 'don', 't', 'text', 'me', 'anymore', 'i', 'have', 'nothing', 'else', 'to', 'say']",57,please don t text me anymore i have nothing else to say
100,0,"['okay', 'name', 'ur', 'price', 'as', 'long', 'as', 'its', 'legal', 'wen', 'can', 'i', 'pick', 'them', 'up', 'y', 'u', 'ave', 'x', 'ams', 'xx']",81,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx
101,0,"['i', 'm', 'still', 'looking', 'for', 'a', 'car', 'to', 'buy', 'and', 'have', 'not', 'gone', 'the', 'driving', 'test', 'yet']",76,i m still looking for a car to buy and have not gone the driving test yet
102,0,"['as', 'per', 'your', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'has', 'been', 'set', 'as', 'your', 'callertune', 'for', 'all', 'callers', 'press', 'to', 'copy', 'your', 'friends', 'callertune']",160,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune
103,0,"['wow', 'you', 're', 'right', 'i', 'didn', 't', 'mean', 'to', 'do', 'that', 'i', 'guess', 'once', 'i', 'gave', 'up', 'on', 'boston', 'men', 'and', 'changed', 'my', 'search', 'location', 'to', 'nyc', 'something', 'changed', 'cuz', 'on', 'my', 'signin', 'page', 'it', 'still', 'says', 'boston']",183,wow you re right i didn t mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston
104,0,"['umma', 'my', 'life', 'and', 'vava', 'umma', 'love', 'you', 'lot', 'dear']",44,umma my life and vava umma love you lot dear
105,0,"['thanks', 'a', 'lot', 'for', 'your', 'wishes', 'on', 'my', 'birthday', 'thanks', 'you', 'for', 'making', 'my', 'birthday', 'truly', 'memorable']",95,thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable
106,0,"['aight', 'i', 'll', 'hit', 'you', 'up', 'when', 'i', 'get', 'some', 'cash']",43,aight i ll hit you up when i get some cash
107,0,"['how', 'would', 'my', 'ip', 'address', 'test', 'that', 'considering', 'my', 'computer', 'isn', 't', 'a', 'minecraft', 'server']",82,how would my ip address test that considering my computer isn t a minecraft server
108,0,"['i', 'know', 'grumpy', 'old', 'people', 'my', 'mom', 'was', 'like', 'you', 'better', 'not', 'be', 'lying', 'then', 'again', 'i', 'am', 'always', 'the', 'one', 'to', 'play', 'jokes']",115,i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes
109,0,"['dont', 'worry', 'i', 'guess', 'he', 's', 'busy']",30,dont worry i guess he s busy
110,0,"['what', 'is', 'the', 'plural', 'of', 'the', 'noun', 'research']",40,what is the plural of the noun research
111,0,"['going', 'for', 'dinner', 'msg', 'you', 'after']",31,going for dinner msg you after
112,0,"['i', 'm', 'ok', 'wif', 'it', 'cos', 'i', 'like', 'try', 'new', 'things', 'but', 'i', 'scared', 'u', 'dun', 'like', 'mah', 'cos', 'u', 'said', 'not', 'too', 'loud']",96,i m ok wif it cos i like try new things but i scared u dun like mah cos u said not too loud
113,1,"['gent', 'we', 'are', 'trying', 'to', 'contact', 'you', 'last', 'weekends', 'draw', 'shows', 'that', 'you', 'won', 'a', 'prize', 'guaranteed', 'call', 'claim', 'code', 'k', 'valid', 'hrs', 'only', 'ppm']",159,gent we are trying to contact you last weekends draw shows that you won a prize guaranteed call claim code k valid hrs only ppm
114,0,"['wa', 'ur', 'openin', 'sentence', 'very', 'formal', 'anyway', 'i', 'm', 'fine', 'too', 'juz', 'tt', 'i', 'm', 'eatin', 'too', 'much', 'n', 'puttin', 'on', 'weight', 'haha', 'so', 'anythin', 'special', 'happened']",143,wa ur openin sentence very formal anyway i m fine too juz tt i m eatin too much n puttin on weight haha so anythin special happened
115,0,"['as', 'i', 'entered', 'my', 'cabin', 'my', 'pa', 'said', 'happy', 'b', 'day', 'boss', 'i', 'felt', 'special', 'she', 'askd', 'me', 'lunch', 'after', 'lunch', 'she', 'invited', 'me', 'to', 'her', 'apartment', 'we', 'went', 'there']",156,as i entered my cabin my pa said happy b day boss i felt special she askd me lunch after lunch she invited me to her apartment we went there
116,1,"['you', 'are', 'a', 'winner', 'u', 'have', 'been', 'specially', 'selected', 'receive', 'or', 'a', 'holiday', 'flights', 'inc', 'speak', 'to', 'a', 'live', 'operator', 'claim', 'p', 'min']",153,you are a winner u have been specially selected receive or a holiday flights inc speak to a live operator claim p min
117,0,"['goodo', 'yes', 'we', 'must', 'speak', 'friday', 'egg', 'potato', 'ratio', 'for', 'tortilla', 'needed']",72,goodo yes we must speak friday egg potato ratio for tortilla needed
118,0,"['hmm', 'my', 'uncle', 'just', 'informed', 'me', 'that', 'he', 's', 'paying', 'the', 'school', 'directly', 'so', 'pls', 'buy', 'food']",86,hmm my uncle just informed me that he s paying the school directly so pls buy food
119,1,"['private', 'your', 'account', 'statement', 'for', 'shows', 'unredeemed', 'bonus', 'points', 'to', 'claim', 'call', 'identifier', 'code', 'expires']",144,private your account statement for shows unredeemed bonus points to claim call identifier code expires
120,1,"['urgent', 'your', 'mobile', 'no', 'was', 'awarded', 'bonus', 'caller', 'prize', 'on', 'this', 'is', 'our', 'final', 'try', 'to', 'contact', 'u', 'call', 'from', 'landline', 'box', 'wr', 'c', 'ppm']",157,urgent your mobile no was awarded bonus caller prize on this is our final try to contact u call from landline box wr c ppm
121,0,"['here', 'is', 'my', 'new', 'address', 'apples', 'pairs', 'all', 'that', 'malarky']",53,here is my new address apples pairs all that malarky
122,1,"['todays', 'voda', 'numbers', 'ending', 'are', 'selected', 'to', 'receive', 'a', 'award', 'if', 'you', 'have', 'a', 'match', 'please', 'call', 'quoting', 'claim', 'code', 'standard', 'rates', 'app']",156,todays voda numbers ending are selected to receive a award if you have a match please call quoting claim code standard rates app
123,0,"['i', 'am', 'going', 'to', 'sao', 'mu', 'today', 'will', 'be', 'done', 'only', 'at']",52,i am going to sao mu today will be done only at
124,0,"['predict', 'wat', 'time', 'll', 'finish', 'buying']",40,predict wat time ll finish buying
