label0,label,cluster,texts,x1,x2,doc,original_text
ham,0,6,"Text(-7.389475, 14.096823, 'wait that s still not all that clear were you not sure about me being sarcastic or that that s why x doesn t want to live with us')",-7.389475,14.096823,wait that s still not all that clear were you not sure about me being sarcastic or that that s why x doesn t want to live with us,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
ham,0,0,"Text(-30.083532, 17.321682, 'yeah he got in at and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till but we won t go there not doing too badly cheers you')",-30.083532,17.321682,yeah he got in at and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till but we won t go there not doing too badly cheers you,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
ham,0,0,"Text(-28.065815, 22.228148, 'k tell me anything about you')",-28.065815,22.228148,k tell me anything about you,K tell me anything about you.
ham,0,4,"Text(-30.117722, -4.6797237, 'for fear of fainting with the of all that housework you just did quick have a cuppa')",-30.117722,-4.6797237,for fear of fainting with the of all that housework you just did quick have a cuppa,For fear of fainting with the of all that housework you just did? Quick have a cuppa
spam,1,4,"Text(-20.187113, -18.838552, 'thanks for your subscription to ringtone uk your mobile will be charged month please confirm by replying yes or no if you reply no you will not be charged')",-20.187113,-18.838552,thanks for your subscription to ringtone uk your mobile will be charged month please confirm by replying yes or no if you reply no you will not be charged,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
ham,0,8,"Text(11.40507, 6.531629, 'yup ok i go home look at the timings then i msg again xuhui going to learn on nd may too but her lesson is at am')",11.40507,6.531629,yup ok i go home look at the timings then i msg again xuhui going to learn on nd may too but her lesson is at am,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am
ham,0,0,"Text(-28.499949, 33.440117, 'oops i ll let you know when my roommate s done')",-28.499949,33.440117,oops i ll let you know when my roommate s done,"Oops, I'll let you know when my roommate's done"
ham,0,6,"Text(-19.828995, 16.75055, 'i see the letter b on my car')",-19.828995,16.75055,i see the letter b on my car,I see the letter B on my car
ham,0,4,"Text(-41.26197, 11.266541, 'anything lor u decide')",-41.26197,11.266541,anything lor u decide,Anything lor... U decide...
ham,0,9,"Text(4.160795, 16.076313, 'hello how s you and how did saturday go i was just texting to see if you d decided to do anything tomo not that i m trying to invite myself or anything')",4.160795,16.076313,hello how s you and how did saturday go i was just texting to see if you d decided to do anything tomo not that i m trying to invite myself or anything,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
ham,0,6,"Text(2.1147268, -7.685774, 'pls go ahead with watts i just wanted to be sure do have a great weekend abiola')",2.1147268,-7.685774,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
ham,0,9,"Text(-7.1952925, 35.81771, 'did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy')",-7.1952925,35.81771,did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
spam,1,7,"Text(-0.95477426, -41.677456, 'rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now for delivery tomorrow')",-0.95477426,-41.677456,rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now for delivery tomorrow,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
ham,0,0,"Text(-27.966196, 25.790886, 'who are you seeing')",-27.966196,25.790886,who are you seeing,WHO ARE YOU SEEING?
ham,0,0,"Text(-26.387339, 29.632912, 'great i hope you like your man well endowed i am inches')",-26.387339,29.632912,great i hope you like your man well endowed i am inches,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
ham,0,2,"Text(49.51242, -15.986629, 'no calls messages missed calls')",49.51242,-15.986629,no calls messages missed calls,No calls..messages..missed calls
ham,0,0,"Text(-22.659666, 20.344053, 'didn t you get hep b immunisation in nigeria')",-22.659666,20.344053,didn t you get hep b immunisation in nigeria,Didn't you get hep b immunisation in nigeria.
ham,0,3,"Text(37.71135, -11.809434, 'fair enough anything going on')",37.71135,-11.809434,fair enough anything going on,"Fair enough, anything going on?"
ham,0,9,"Text(2.7643387, 28.398432, 'yeah hopefully if tyler can t do it i could maybe ask around a bit')",2.7643387,28.398432,yeah hopefully if tyler can t do it i could maybe ask around a bit,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
ham,0,0,"Text(-30.9151, 20.520607, 'u don t know how stubborn i am i didn t even want to go to the hospital i kept telling mark i m not a weak sucker hospitals are for weak suckers')",-30.9151,20.520607,u don t know how stubborn i am i didn t even want to go to the hospital i kept telling mark i m not a weak sucker hospitals are for weak suckers,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
ham,0,9,"Text(10.186797, 26.542366, 'what you thinked about me first time you saw me in class')",10.186797,26.542366,what you thinked about me first time you saw me in class,What you thinked about me. First time you saw me in class.
ham,0,8,"Text(14.707224, -12.96648, 'a gram usually runs like a half eighth is smarter though and gets you almost a whole second gram for')",14.707224,-12.96648,a gram usually runs like a half eighth is smarter though and gets you almost a whole second gram for,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
ham,0,4,"Text(-24.003668, -8.004898, 'k fyi x has a ride early tomorrow morning but he s crashing at our place tonight')",-24.003668,-8.004898,k fyi x has a ride early tomorrow morning but he s crashing at our place tonight,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
ham,0,0,"Text(-23.653015, 30.621136, 'wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave i m sorry i didn t and don t have more to give i m sorry i offered i m sorry your room was so embarassing')",-23.653015,30.621136,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave i m sorry i didn t and don t have more to give i m sorry i offered i m sorry your room was so embarassing,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."""
spam,1,7,"Text(-4.3414803, -30.341064, 'sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv')",-4.3414803,-30.341064,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
ham,0,9,"Text(9.131815, 21.675512, 'do you know what mallika sherawat did yesterday find out now url')",9.131815,21.675512,do you know what mallika sherawat did yesterday find out now url,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
spam,1,1,"Text(5.9433794, -28.043205, 'congrats year special cinema pass for is yours call now c suprman v matrix starwars etc all free bx ip we pm dont miss out')",5.9433794,-28.043205,congrats year special cinema pass for is yours call now c suprman v matrix starwars etc all free bx ip we pm dont miss out,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! "
ham,0,6,"Text(-12.340478, 5.615217, 'sorry i ll call later in meeting')",-12.340478,5.615217,sorry i ll call later in meeting,"Sorry, I'll call later in meeting."
ham,0,9,"Text(-18.179047, 31.533634, 'tell where you reached')",-18.179047,31.533634,tell where you reached,Tell where you reached
ham,0,4,"Text(-32.512867, -3.4794617, 'yes gauti and sehwag out of odi series')",-32.512867,-3.4794617,yes gauti and sehwag out of odi series,Yes..gauti and sehwag out of odi series.
ham,0,6,"Text(-4.139217, -9.075632, 'your gonna have to pick up a burger for yourself on your way home i can t even move pain is killing me')",-4.139217,-9.075632,your gonna have to pick up a burger for yourself on your way home i can t even move pain is killing me,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
ham,0,2,"Text(53.637077, -14.0126705, 'ha ha ha good joke girls are situation seekers')",53.637077,-14.0126705,ha ha ha good joke girls are situation seekers,Ha ha ha good joke. Girls are situation seekers.
ham,0,6,"Text(-10.205948, -13.304781, 'its a part of checking iq')",-10.205948,-13.304781,its a part of checking iq,Its a part of checking IQ
ham,0,0,"Text(-22.645378, 22.455448, 'sorry my roommates took forever it ok if i come by now')",-22.645378,22.455448,sorry my roommates took forever it ok if i come by now,"Sorry my roommates took forever, it ok if I come by now?"
ham,0,3,"Text(31.188725, 7.741501, 'ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice')",31.188725,7.741501,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
spam,1,6,"Text(-5.932884, -21.464848, 'as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a bonus prize call')",-5.932884,-21.464848,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a bonus prize call,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589"
ham,0,4,"Text(-27.989792, -10.245065, 'today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me')",-27.989792,-10.245065,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."""
spam,1,1,"Text(6.8517265, -42.454494, 'urgent ur awarded a complimentary trip to eurodisinc trav aco entry or to claim txt dis to morefrmmob shracomorsglsuplt ls aj')",6.8517265,-42.454494,urgent ur awarded a complimentary trip to eurodisinc trav aco entry or to claim txt dis to morefrmmob shracomorsglsuplt ls aj,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
spam,1,9,"Text(15.541806, 0.0888905, 'did you hear about the new divorce barbie it comes with all of ken s stuff')",15.541806,0.0888905,did you hear about the new divorce barbie it comes with all of ken s stuff,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!"""
ham,0,8,"Text(5.265769, -13.56115, 'i plane to give on this month end')",5.265769,-13.56115,i plane to give on this month end,I plane to give on this month end.
ham,0,2,"Text(44.69183, -7.0341253, 'wah lucky man then can save money hee')",44.69183,-7.0341253,wah lucky man then can save money hee,Wah lucky man... Then can save money... Hee...
ham,0,3,"Text(42.19686, 1.523544, 'finished class where are you')",42.19686,1.523544,finished class where are you,Finished class where are you.
ham,0,6,"Text(1.6684487, -2.6233354, 'hi babe im at home now wanna do something xx')",1.6684487,-2.6233354,hi babe im at home now wanna do something xx,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
ham,0,0,"Text(-30.066069, 25.802343, 'k k where are you how did you performed')",-30.066069,25.802343,k k where are you how did you performed,K..k:)where are you?how did you performed?
ham,0,4,"Text(-31.468147, -16.233116, 'u can call me now')",-31.468147,-16.233116,u can call me now,U can call me now...
ham,0,6,"Text(-2.0906582, -18.256266, 'i am waiting machan call me once you free')",-2.0906582,-18.256266,i am waiting machan call me once you free,I am waiting machan. Call me once you free.
ham,0,9,"Text(20.943558, 13.138852, 'thats cool i am a gentleman and will treat you with dignity and respect')",20.943558,13.138852,thats cool i am a gentleman and will treat you with dignity and respect,Thats cool. i am a gentleman and will treat you with dignity and respect.
ham,0,0,"Text(-15.179823, 31.980556, 'i like you peoples very much but am very shy pa')",-15.179823,31.980556,i like you peoples very much but am very shy pa,I like you peoples very much:) but am very shy pa.
ham,0,6,"Text(-15.737821, -10.898804, 'does not operate after or what')",-15.737821,-10.898804,does not operate after or what,Does not operate after  &lt;#&gt;  or what
ham,0,6,"Text(0.114151604, 8.378891, 'its not the same here still looking for a job how much do ta s earn there')",0.114151604,8.378891,its not the same here still looking for a job how much do ta s earn there,Its not the same here. Still looking for a job. How much do Ta's earn there.
ham,0,4,"Text(-45.615818, -5.5638623, 'sorry i ll call later')",-45.615818,-5.5638623,sorry i ll call later,"Sorry, I'll call later"
ham,0,6,"Text(-15.67577, -15.756731, 'k did you call me just now ah')",-15.67577,-15.756731,k did you call me just now ah,K. Did you call me just now ah? 
ham,0,4,"Text(-32.74336, 0.29794323, 'ok i am on the way to home hi hi')",-32.74336,0.29794323,ok i am on the way to home hi hi,Ok i am on the way to home hi hi
ham,0,0,"Text(-18.882393, 20.633093, 'you will be in the place of that man')",-18.882393,20.633093,you will be in the place of that man,You will be in the place of that man
ham,0,1,"Text(9.039766, -37.508327, 'yup next stop')",9.039766,-37.508327,yup next stop,Yup next stop.
ham,0,6,"Text(-27.246271, 12.600806, 'i call you later don t have network if urgnt sms me')",-27.246271,12.600806,i call you later don t have network if urgnt sms me,"I call you later, don't have network. If urgnt, sms me."
ham,0,9,"Text(-9.85998, 17.164309, 'for real when u getting on yo i only need more tickets and one more jacket and i m done i already used all my multis')",-9.85998,17.164309,for real when u getting on yo i only need more tickets and one more jacket and i m done i already used all my multis,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
ham,0,9,"Text(9.403486, 12.096219, 'yes i started to send requests to make it but pain came back so i m back in bed double coins at the factory too i gotta cash in all my nitros')",9.403486,12.096219,yes i started to send requests to make it but pain came back so i m back in bed double coins at the factory too i gotta cash in all my nitros,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
ham,0,0,"Text(-20.49642, 24.039694, 'i m really not up to it still tonight babe')",-20.49642,24.039694,i m really not up to it still tonight babe,I'm really not up to it still tonight babe
ham,0,1,"Text(7.799224, -38.110603, 'ela kano il download come wen ur free')",7.799224,-38.110603,ela kano il download come wen ur free,"Ela kano.,il download, come wen ur free.."
ham,0,3,"Text(36.83686, 7.5135427, 'yeah do don t stand to close tho you ll catch something')",36.83686,7.5135427,yeah do don t stand to close tho you ll catch something,Yeah do! Don‰Û÷t stand to close tho- you‰Û÷ll catch something!
ham,0,9,"Text(-1.6656797, 20.289091, 'sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i haven t done any of y stuff moro and that includes all my time sheets and that sorry')",-1.6656797,20.289091,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i haven t done any of y stuff moro and that includes all my time sheets and that sorry,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. 
ham,0,8,"Text(27.649937, -0.15028693, 'smile in pleasure smile in pain smile when trouble pours like rain smile when sum hurts u smile becoz someone still loves to see u smiling')",27.649937,-0.15028693,smile in pleasure smile in pain smile when trouble pours like rain smile when sum hurts u smile becoz someone still loves to see u smiling,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
spam,1,7,"Text(-5.1029043, -35.97019, 'please call our customer service representative on between am pm as you have won a guaranteed cash or prize')",-5.1029043,-35.97019,please call our customer service representative on between am pm as you have won a guaranteed cash or prize,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!
ham,0,8,"Text(4.1253786, -2.6884065, 'havent planning to buy later i check already lido only got show in e afternoon u finish work already')",4.1253786,-2.6884065,havent planning to buy later i check already lido only got show in e afternoon u finish work already,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
spam,1,7,"Text(-7.8790965, -34.417942, 'your free ringtone is waiting to be collected simply text the password mix to to verify get usher and britney fml')",-7.8790965,-34.417942,your free ringtone is waiting to be collected simply text the password mix to to verify get usher and britney fml,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML"
ham,0,3,"Text(43.56301, -9.698056, 'watching telugu movie wat abt u')",43.56301,-9.698056,watching telugu movie wat abt u,Watching telugu movie..wat abt u?
ham,0,6,"Text(-1.906882, 15.202451, 'i see when we finish we have loads of loans to pay')",-1.906882,15.202451,i see when we finish we have loads of loans to pay,i see. When we finish we have loads of loans to pay
ham,0,8,"Text(5.73347, -10.608081, 'hi wk been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u ham')",5.73347,-10.608081,hi wk been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham"""
ham,0,6,"Text(-3.4937367, -0.27198598, 'please don t text me anymore i have nothing else to say')",-3.4937367,-0.27198598,please don t text me anymore i have nothing else to say,Please don't text me anymore. I have nothing else to say.
ham,0,8,"Text(26.053993, -6.288663, 'okay name ur price as long as its legal wen can i pick them up y u ave x ams xx')",26.053993,-6.288663,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
ham,0,3,"Text(33.091827, -8.187501, 'i m still looking for a car to buy and have not gone the driving test yet')",33.091827,-8.187501,i m still looking for a car to buy and have not gone the driving test yet,I'm still looking for a car to buy. And have not gone 4the driving test yet.
ham,0,7,"Text(-8.2819395, -30.44436, 'as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune')",-8.2819395,-30.44436,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,0,9,"Text(14.99756, 20.553381, 'wow you re right i didn t mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston')",14.99756,20.553381,wow you re right i didn t mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
ham,0,0,"Text(-16.261044, 23.367226, 'umma my life and vava umma love you lot dear')",-16.261044,23.367226,umma my life and vava umma love you lot dear,Umma my life and vava umma love you lot dear
ham,0,8,"Text(15.365739, -12.228548, 'thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable')",15.365739,-12.228548,thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
ham,0,9,"Text(16.747246, 22.16497, 'aight i ll hit you up when i get some cash')",16.747246,22.16497,aight i ll hit you up when i get some cash,"Aight, I'll hit you up when I get some cash"
ham,0,9,"Text(24.047066, 16.27679, 'how would my ip address test that considering my computer isn t a minecraft server')",24.047066,16.27679,how would my ip address test that considering my computer isn t a minecraft server,How would my ip address test that considering my computer isn't a minecraft server
