,0
533,0
534,1
535,0
536,1
537,0
538,9
539,1
540,0
541,2
542,6
543,1
544,5
545,0
546,9
547,7
548,7
549,4
550,4
551,4
552,1
553,0
554,0
555,4
556,0
557,0
558,7
559,0
560,4
561,9
562,7
563,1
564,6
565,4
566,4
567,7
568,0
569,4
570,6
571,9
572,3
573,9
574,4
575,0
576,9
577,5
578,3
579,0
580,9
581,7
582,4
583,1
584,4
585,6
586,6
587,1
588,9
589,2
590,6
591,4
592,0
593,4
594,1
595,2
596,4
597,7
598,5
599,4
600,1
601,4
602,1
603,5
604,2
605,1
606,0
607,1
608,9
609,1
610,4
611,4
612,1
613,4
614,7
615,0
616,0
617,0
618,5
619,6
620,0
621,1
622,1
623,1
624,5
625,7
626,9
627,2
628,4
629,6
630,4
631,0
632,9
633,4
634,1
635,1
636,7
637,0
638,4
639,0
640,0
641,1
642,5
643,1
644,7
645,6
646,2
647,9
648,6
649,4
650,7
651,7
652,0
653,1
654,1
655,4
656,5
657,2
658,1
659,0
660,7
661,6
662,1
663,1
664,0
665,6
666,0
667,1
668,6
669,6
670,9
671,7
672,4
673,6
674,1
675,4
676,0
677,4
678,1
679,4
680,5
681,7
682,1
683,0
684,0
685,1
686,7
687,1
688,6
689,0
690,0
691,1
692,0
693,4
694,0
695,0
696,6
697,5
698,1
699,4
700,7
701,1
702,7
703,0
704,4
705,6
706,2
707,2
708,1
709,1
710,2
711,1
712,4
713,4
714,2
715,1
716,9
717,0
718,1
719,0
720,6
721,1
722,1
723,7
724,4
725,6
726,2
727,7
728,6
729,1
730,1
731,0
732,0
733,5
734,1
735,9
736,1
737,1
738,7
739,7
740,7
741,5
742,1
743,7
744,1
745,9
746,5
747,1
748,7
749,2
750,4
751,5
752,5
753,7
754,6
755,0
756,0
757,7
758,2
759,7
760,9
761,1
762,1
763,2
764,7
765,4
766,5
767,4
768,1
769,0
770,1
771,0
772,0
773,5
774,1
775,0
776,1
777,0
778,1
779,7
780,9
781,4
782,7
783,7
784,9
785,9
786,1
787,0
788,0
789,4
790,4
791,4
792,7
793,9
794,7
795,4
796,0
797,2
798,4
799,9
800,9
801,4
802,4
803,4
804,7
805,7
806,4
807,4
808,0
809,2
810,4
811,2
812,0
813,0
814,5
815,4
816,4
817,0
818,5
819,2
820,9
821,0
822,7
823,5
824,7
825,6
826,0
827,9
828,0
829,9
830,7
831,6
832,5
833,2
834,0
835,2
836,9
837,7
838,4
839,1
840,2
841,4
842,1
843,7
844,0
845,0
846,9
847,7
848,0
849,7
850,0
851,7
852,2
853,5
854,1
855,0
856,5
857,1
858,2
859,7
860,7
861,2
862,2
863,7
864,6
865,7
866,9
867,1
868,0
869,7
870,5
871,0
872,2
873,4
874,2
875,1
876,1
877,6
878,1
879,0
880,0
881,0
882,7
883,0
884,4
885,4
886,0
887,0
888,4
889,7
890,0
891,7
892,5
893,7
894,4
895,9
896,7
897,4
898,4
899,0
900,4
901,5
902,9
903,7
904,4
905,9
906,7
907,7
908,4
909,7
910,5
911,0
912,0
913,7
914,0
915,0
916,4
917,1
918,7
919,1
920,7
921,1
922,4
923,7
924,1
925,2
926,7
927,7
928,4
929,4
930,9
931,4
932,1
933,7
934,2
935,6
936,5
937,1
938,2
939,1
940,1
941,4
942,9
943,1
944,5
945,4
946,0
947,7
948,0
949,2
950,6
951,1
952,1
953,4
954,5
955,0
956,4
957,2
958,1
959,6
960,4
961,4
962,4
963,4
964,1
965,0
966,4
967,0
968,0
969,1
970,1
971,7
972,0
973,4
974,0
975,0
976,7
977,2
978,6
979,7
980,0
981,6
982,1
983,7
984,1
985,1
986,1
987,1
988,4
989,0
990,4
991,1
992,7
993,1
994,1
995,0
996,0
997,9
998,1
999,7
1000,7
1001,1
1002,9
1003,7
1004,3
1005,0
1006,0
1007,4
1008,6
1009,5
1010,7
1011,1
1012,9
1013,0
1014,6
1015,7
1016,7
1017,1
1018,5
1019,5
1020,5
1021,4
1022,1
1023,1
1024,7
1025,4
1026,4
1027,3
1028,1
1029,7
1030,0
1031,7
1032,5
1033,6
1034,1
1035,7
1036,0
1037,7
1038,6
1039,4
1040,5
1041,4
1042,0
1043,2
1044,0
1045,1
1046,0
1047,7
1048,7
1049,7
1050,1
1051,5
1052,7
1053,6
1054,5
1055,2
1056,0
1057,1
1058,7
1059,9
1060,4
1061,0
1062,1
1063,0
1064,1
1065,6
1066,0
1067,2
1068,9
1069,4
1070,6
1071,3
1072,7
1073,6
1074,5
1075,0
1076,1
1077,2
1078,2
1079,7
1080,7
1081,0
1082,4
1083,0
1084,2
1085,0
1086,9
1087,5
1088,7
1089,7
1090,4
1091,9
1092,2
1093,0
1094,5
1095,7
1096,4
1097,0
1098,4
1099,0
1100,1
1101,5
1102,0
1103,0
1104,1
1105,7
1106,6
1107,7
1108,7
1109,4
1110,1
1111,0
1112,0
1113,9
1114,0
1115,9
1116,1
1117,9
1118,6
1119,7
1120,7
1121,9
1122,5
1123,2
1124,9
1125,7
1126,7
1127,4
1128,7
1129,4
1130,7
1131,4
1132,1
1133,0
1134,4
1135,6
1136,5
1137,1
1138,7
1139,1
1140,7
1141,2
1142,4
1143,7
1144,4
1145,0
1146,4
1147,4
1148,7
1149,1
1150,7
1151,7
1152,7
1153,4
1154,4
1155,6
1156,7
1157,4
1158,2
1159,1
1160,5
1161,4
1162,7
1163,7
1164,4
1165,0
1166,1
1167,1
1168,1
1169,1
1170,0
1171,7
1172,1
1173,1
1174,6
1175,1
1176,6
1177,0
1178,5
1179,7
1180,0
1181,4
1182,0
1183,5
1184,7
1185,4
1186,7
1187,4
1188,7
1189,9
1190,5
1191,5
1192,7
1193,4
1194,0
1195,1
1196,6
1197,4
1198,7
1199,1
1200,9
1201,1
1202,9
1203,4
1204,7
1205,1
1206,4
1207,1
1208,2
1209,7
1210,4
1211,7
1212,5
1213,1
1214,4
1215,7
1216,9
1217,4
1218,7
1219,4
1220,2
1221,1
1222,2
1223,0
1224,9
1225,0
1226,0
1227,0
1228,2
1229,4
1230,0
1231,1
1232,7
1233,2
1234,1
1235,7
1236,1
1237,0
1238,6
1239,7
1240,7
1241,1
1242,7
1243,7
1244,1
1245,4
1246,1
1247,1
1248,0
1249,1
1250,2
1251,1
1252,0
1253,1
1254,7
1255,2
1256,0
1257,7
1258,9
1259,1
1260,7
1261,1
1262,4
1263,0
1264,1
1265,9
1266,1
1267,4
1268,4
1269,2
1270,7
1271,7
1272,4
1273,1
1274,4
1275,6
1276,0
1277,7
1278,1
1279,7
1280,4
1281,2
1282,1
1283,1
1284,5
1285,1
1286,6
1287,6
1288,0
1289,0
1290,4
1291,0
1292,0
1293,4
1294,5
1295,0
1296,0
1297,7
1298,1
1299,5
1300,5
1301,0
1302,9
1303,2
1304,7
1305,1
1306,7
1307,0
1308,4
1309,6
1310,7
1311,0
1312,6
1313,2
1314,4
1315,4
1316,0
1317,7
1318,5
1319,7
1320,1
1321,0
1322,4
1323,9
1324,1
1325,5
1326,7
1327,2
1328,7
1329,5
1330,1
1331,1
1332,1
1333,5
1334,0
1335,5
1336,7
1337,0
1338,7
1339,0
1340,1
1341,5
1342,7
1343,6
1344,0
1345,2
1346,0
1347,6
1348,1
1349,1
1350,4
1351,5
1352,1
1353,7
1354,1
1355,0
1356,0
1357,0
1358,0
1359,1
1360,7
1361,9
1362,2
1363,0
1364,7
1365,6
1366,7
1367,1
1368,2
1369,9
1370,2
1371,3
1372,1
1373,2
1374,3
1375,9
1376,7
1377,1
1378,7
1379,6
1380,1
1381,7
1382,5
1383,0
1384,7
1385,0
1386,0
1387,6
1388,4
1389,4
1390,0
1391,0
1392,6
1393,1
1394,4
1395,1
1396,1
1397,0
1398,1
1399,6
1400,6
1401,5
1402,1
1403,4
1404,4
1405,4
1406,2
1407,0
1408,0
1409,2
1410,1
1411,1
1412,2
1413,7
1414,1
1415,1
1416,5
1417,4
1418,2
1419,1
1420,2
1421,4
1422,4
1423,1
1424,1
1425,5
1426,1
1427,7
1428,0
1429,7
1430,6
1431,6
1432,7
1433,7
1434,7
1435,0
1436,6
1437,5
1438,7
1439,9
1440,6
1441,4
1442,0
1443,7
1444,1
1445,1
1446,0
1447,0
1448,7
1449,4
1450,0
1451,2
1452,1
1453,0
1454,0
1455,2
1456,0
1457,6
1458,2
1459,1
1460,7
1461,9
1462,2
1463,0
1464,1
1465,2
1466,5
1467,0
1468,0
1469,7
1470,0
1471,7
1472,0
1473,7
1474,1
1475,7
1476,0
1477,7
1478,4
1479,0
1480,4
1481,7
1482,7
1483,1
1484,5
1485,0
1486,7
1487,9
1488,0
1489,7
1490,1
1491,0
1492,5
1493,7
1494,0
1495,1
1496,5
1497,2
1498,6
1499,1
1500,7
1501,6
1502,9
1503,0
1504,0
1505,4
1506,1
1507,1
1508,1
1509,3
1510,0
1511,4
1512,4
1513,2
1514,7
1515,0
1516,2
1517,0
1518,4
1519,3
1520,4
1521,5
1522,4
1523,6
1524,6
1525,5
1526,6
1527,0
1528,7
1529,4
1530,0
1531,1
1532,7
1533,6
1534,5
1535,0
1536,4
1537,1
1538,5
1539,2
1540,5
1541,7
1542,4
1543,7
1544,4
1545,0
1546,5
1547,1
1548,4
1549,4
1550,4
1551,0
1552,1
1553,4
1554,5
1555,1
1556,1
1557,0
1558,6
1559,2
1560,5
1561,1
1562,4
1563,3
1564,0
1565,7
1566,7
1567,3
1568,2
1569,2
1570,1
1571,6
1572,4
1573,7
1574,1
1575,7
1576,7
1577,1
1578,1
1579,4
1580,4
1581,4
1582,4
1583,7
1584,5
1585,7
1586,0
1587,4
1588,7
1589,6
1590,1
1591,1
1592,2
1593,9
1594,4
1595,7
1596,5
1597,0
1598,3
1599,7
1600,5
1601,1
1602,7
1603,7
1604,7
1605,0
1606,0
1607,2
1608,6
1609,4
1610,1
1611,6
1612,4
1613,0
1614,0
1615,7
1616,6
1617,1
1618,0
1619,9
1620,1
1621,4
1622,2
1623,7
1624,0
1625,4
1626,0
1627,0
1628,1
1629,9
1630,1
1631,7
1632,5
1633,5
1634,9
1635,6
1636,4
1637,3
1638,5
1639,5
1640,7
1641,0
1642,7
1643,4
1644,5
1645,4
1646,0
1647,9
1648,7
1649,1
1650,4
1651,7
1652,4
1653,1
1654,1
1655,5
1656,7
1657,9
1658,4
1659,6
1660,4
1661,5
1662,1
1663,4
1664,7
1665,6
1666,9
1667,2
1668,5
1669,4
1670,0
1671,4
1672,7
1673,1
1674,5
1675,6
1676,6
1677,7
1678,5
1679,1
1680,1
1681,9
1682,9
1683,4
1684,3
1685,2
1686,4
1687,1
1688,0
1689,7
1690,7
1691,7
1692,7
1693,1
1694,4
1695,9
1696,7
1697,4
1698,9
1699,0
1700,1
1701,1
1702,7
1703,1
1704,0
1705,0
1706,4
1707,1
1708,2
1709,4
1710,2
1711,1
1712,2
1713,4
1714,4
1715,0
1716,1
1717,0
1718,7
1719,0
1720,7
1721,6
1722,4
1723,9
1724,7
1725,5
1726,7
1727,0
1728,9
1729,4
1730,7
1731,4
1732,5
1733,4
1734,0
1735,9
1736,7
1737,7
1738,4
1739,1
1740,7
1741,0
1742,0
1743,1
1744,0
1745,0
1746,1
1747,1
1748,6
1749,1
1750,0
1751,7
1752,7
1753,4
1754,1
1755,3
1756,0
1757,0
1758,5
1759,9
1760,7
1761,2
1762,5
1763,1
1764,0
1765,6
1766,0
1767,0
1768,0
1769,4
1770,4
1771,9
1772,2
1773,2
1774,5
1775,2
1776,5
1777,0
1778,1
1779,7
1780,7
1781,0
1782,6
1783,4
1784,4
1785,1
1786,4
1787,9
1788,0
1789,4
1790,7
1791,7
1792,1
1793,7
1794,7
1795,4
1796,6
1797,0
1798,7
1799,0
1800,7
1801,2
1802,4
1803,0
1804,7
1805,0
1806,4
1807,0
1808,4
1809,4
1810,6
1811,5
1812,4
1813,4
1814,4
1815,1
1816,7
1817,7
1818,1
1819,6
1820,7
1821,7
1822,5
1823,5
1824,2
1825,7
1826,0
1827,1
1828,4
1829,5
1830,5
1831,1
1832,5
1833,9
1834,1
1835,7
1836,7
1837,4
1838,5
1839,1
1840,1
1841,7
1842,9
1843,0
1844,1
1845,0
1846,6
1847,9
1848,7
1849,1
1850,1
1851,1
1852,0
1853,1
1854,7
1855,0
1856,4
1857,7
1858,4
1859,5
1860,9
1861,4
1862,7
1863,4
1864,6
1865,7
1866,4
1867,7
1868,9
1869,1
1870,2
1871,0
1872,1
1873,0
1874,1
1875,2
1876,7
1877,4
1878,1
1879,7
1880,4
1881,2
1882,2
1883,1
1884,0
1885,1
1886,7
1887,9
1888,2
1889,1
1890,4
1891,0
1892,0
1893,1
1894,7
1895,7
1896,4
1897,0
1898,9
1899,6
1900,4
1901,1
1902,4
1903,7
1904,0
1905,7
1906,6
1907,7
1908,5
1909,9
1910,4
1911,0
1912,4
1913,5
1914,4
1915,0
1916,0
1917,7
1918,1
1919,4
1920,1
1921,7
1922,4
1923,9
1924,9
1925,0
1926,7
1927,3
1928,4
1929,1
1930,7
1931,4
1932,4
1933,1
1934,0
1935,0
1936,2
1937,7
1938,7
1939,7
1940,4
1941,4
1942,5
1943,5
1944,2
1945,4
1946,0
1947,6
1948,1
1949,1
1950,7
1951,7
1952,1
1953,1
1954,3
1955,1
1956,6
1957,2
1958,4
1959,7
1960,0
1961,4
1962,4
1963,0
1964,9
1965,4
1966,1
1967,1
1968,0
1969,7
1970,6
1971,7
1972,9
1973,4
1974,5
1975,4
1976,1
1977,7
1978,1
1979,2
1980,4
1981,4
1982,3
1983,4
1984,7
1985,1
1986,7
1987,9
1988,6
1989,5
1990,7
1991,4
1992,7
1993,1
1994,4
1995,0
1996,1
1997,2
1998,1
1999,0
2000,4
2001,6
2002,1
2003,5
2004,7
2005,0
2006,7
2007,6
2008,2
2009,4
2010,7
2011,9
2012,1
2013,0
2014,2
2015,0
2016,7
2017,9
2018,0
2019,6
2020,0
2021,0
2022,0
2023,6
2024,7
2025,1
2026,0
2027,7
2028,4
2029,5
2030,6
2031,7
2032,1
2033,1
2034,7
2035,7
2036,2
2037,7
2038,2
2039,7
2040,7
2041,0
2042,5
2043,4
2044,4
2045,4
2046,0
2047,9
2048,1
2049,4
2050,0
2051,1
2052,1
2053,0
2054,1
2055,4
2056,4
2057,5
2058,2
2059,7
2060,5
2061,4
2062,5
2063,0
2064,9
2065,2
2066,5
2067,4
2068,9
2069,0
2070,7
2071,4
2072,7
2073,2
2074,4
2075,5
2076,7
2077,6
2078,1
2079,7
2080,7
2081,7
2082,3
2083,9
2084,7
2085,0
2086,1
2087,7
2088,2
2089,6
2090,0
2091,7
2092,1
2093,7
2094,2
2095,0
2096,4
2097,1
2098,0
2099,5
2100,7
2101,1
2102,2
2103,4
2104,4
2105,7
2106,2
2107,7
2108,9
2109,4
2110,4
2111,1
2112,9
2113,4
2114,1
2115,7
2116,4
2117,9
2118,0
2119,1
2120,7
2121,1
2122,4
2123,7
2124,4
2125,1
2126,9
2127,5
2128,7
2129,6
2130,7
2131,1
2132,7
2133,4
2134,1
2135,6
2136,4
2137,1
2138,9
2139,9
2140,1
2141,7
2142,7
2143,4
2144,4
2145,7
2146,5
2147,7
2148,1
2149,7
2150,7
2151,7
2152,4
2153,9
2154,1
2155,5
2156,2
2157,1
2158,0
2159,7
2160,7
2161,1
2162,5
2163,2
2164,4
2165,0
2166,3
2167,1
2168,4
2169,5
2170,2
2171,7
2172,7
2173,1
2174,7
2175,4
2176,5
2177,1
2178,7
2179,0
2180,1
2181,7
2182,9
2183,0
2184,7
2185,5
2186,6
2187,4
2188,0
2189,5
2190,7
2191,7
2192,1
2193,4
2194,7
2195,1
2196,0
2197,7
2198,1
2199,1
2200,2
2201,0
2202,2
2203,4
2204,0
2205,1
2206,5
2207,0
2208,7
2209,7
2210,7
2211,1
2212,1
2213,9
2214,7
2215,0
2216,7
2217,2
2218,0
2219,0
2220,4
2221,7
2222,0
2223,1
2224,1
2225,1
2226,6
2227,2
2228,1
2229,1
2230,4
2231,0
2232,1
2233,5
2234,4
2235,4
2236,0
2237,7
2238,5
2239,7
2240,0
2241,1
2242,5
2243,2
2244,4
2245,4
2246,1
2247,6
2248,0
2249,1
2250,2
2251,6
2252,7
2253,0
2254,2
2255,1
2256,1
2257,2
2258,4
2259,5
2260,9
2261,0
2262,9
2263,4
2264,4
2265,1
2266,0
2267,0
2268,1
2269,5
2270,7
2271,0
2272,3
2273,7
2274,1
2275,4
2276,6
2277,7
2278,5
2279,5
2280,1
2281,7
2282,0
2283,2
2284,7
2285,7
2286,7
2287,7
2288,5
2289,1
2290,9
2291,4
2292,1
2293,2
2294,1
2295,0
2296,6
2297,7
2298,1
2299,1
2300,0
2301,9
2302,1
2303,6
2304,1
2305,2
2306,9
2307,7
2308,7
2309,7
2310,0
2311,5
2312,1
2313,7
2314,1
2315,4
2316,4
2317,0
2318,4
2319,3
2320,0
2321,2
2322,7
2323,1
2324,0
2325,4
2326,6
2327,0
2328,0
2329,4
2330,7
2331,1
2332,0
2333,5
2334,7
2335,1
2336,9
2337,2
2338,8
2339,4
2340,5
2341,7
2342,4
2343,7
2344,4
2345,1
2346,1
2347,1
2348,1
2349,7
2350,5
2351,0
2352,7
2353,2
2354,7
2355,1
2356,7
2357,2
2358,1
2359,1
2360,9
2361,6
2362,4
2363,1
2364,0
2365,6
2366,7
2367,2
2368,6
2369,4
2370,0
2371,9
2372,9
2373,0
2374,4
2375,7
2376,7
2377,5
2378,4
2379,9
2380,5
2381,4
2382,7
2383,1
2384,5
2385,4
2386,0
2387,7
2388,4
2389,4
2390,0
2391,3
2392,1
2393,5
2394,1
2395,0
2396,0
2397,7
2398,0
2399,7
2400,7
2401,7
2402,7
2403,6
2404,5
2405,1
2406,0
2407,0
2408,0
2409,7
2410,4
2411,2
2412,2
2413,1
2414,1
2415,4
2416,7
2417,4
2418,4
2419,9
2420,4
2421,4
2422,1
2423,0
2424,0
2425,0
2426,1
2427,7
2428,7
2429,0
2430,9
2431,0
2432,4
2433,4
2434,5
2435,4
2436,0
2437,7
2438,0
2439,4
2440,0
2441,6
2442,7
2443,4
2444,1
2445,0
2446,4
2447,0
2448,1
2449,6
2450,1
2451,4
2452,0
2453,7
2454,0
2455,6
2456,7
2457,0
2458,4
2459,0
2460,0
2461,7
2462,1
2463,6
2464,0
2465,2
2466,4
2467,0
2468,5
2469,7
2470,7
2471,1
2472,2
2473,2
2474,7
2475,1
2476,7
2477,4
2478,7
2479,0
2480,0
2481,0
2482,4
2483,1
2484,6
2485,1
2486,5
2487,1
2488,2
2489,2
2490,1
2491,4
2492,6
2493,1
2494,4
2495,1
2496,1
2497,7
2498,3
2499,4
2500,3
2501,4
2502,7
2503,4
2504,6
2505,4
2506,9
2507,1
2508,4
2509,7
2510,4
2511,5
2512,0
2513,1
2514,4
2515,7
2516,4
2517,9
2518,1
2519,0
2520,4
2521,6
2522,4
2523,0
2524,4
2525,6
2526,4
2527,4
2528,1
2529,4
2530,1
2531,0
2532,0
2533,1
2534,4
2535,5
2536,5
2537,1
2538,7
2539,0
2540,9
2541,7
2542,4
2543,1
2544,7
2545,4
2546,1
2547,0
2548,9
2549,0
2550,1
2551,0
2552,7
2553,7
2554,0
2555,7
2556,4
2557,1
2558,4
2559,7
2560,7
2561,1
2562,5
2563,0
2564,5
2565,2
2566,1
2567,9
2568,0
2569,0
2570,4
2571,6
2572,9
2573,4
2574,9
2575,0
2576,5
2577,0
2578,7
2579,0
2580,1
2581,9
2582,7
2583,1
2584,1
2585,0
2586,1
2587,2
2588,7
2589,1
2590,8
2591,7
2592,4
2593,8
2594,4
2595,5
2596,1
2597,1
2598,5
2599,7
2600,7
2601,0
2602,4
2603,2
2604,0
2605,6
2606,4
2607,5
2608,5
2609,5
2610,9
2611,9
2612,4
2613,1
2614,4
2615,7
2616,5
2617,9
2618,1
2619,7
2620,7
2621,5
2622,4
2623,2
2624,7
2625,7
2626,4
2627,2
2628,6
2629,1
2630,6
2631,1
2632,5
2633,9
2634,4
2635,5
2636,9
2637,4
2638,1
2639,4
2640,4
2641,7
2642,5
2643,1
2644,5
2645,0
2646,6
2647,1
2648,0
2649,0
2650,4
2651,6
2652,7
2653,7
2654,9
2655,5
2656,0
2657,7
2658,0
2659,9
2660,2
2661,1
2662,4
2663,5
2664,7
2665,4
2666,4
2667,5
2668,0
2669,0
2670,9
2671,7
2672,7
2673,1
2674,7
2675,0
2676,2
2677,4
2678,8
2679,4
2680,5
2681,9
2682,0
2683,9
2684,1
2685,1
2686,4
2687,7
2688,0
2689,9
2690,1
2691,1
2692,1
2693,0
2694,1
2695,2
2696,7
2697,5
2698,2
2699,4
2700,6
2701,9
2702,0
2703,1
2704,6
2705,7
2706,7
2707,0
2708,8
2709,1
2710,1
2711,4
2712,0
2713,5
2714,4
2715,6
2716,5
2717,4
2718,1
2719,2
2720,2
2721,6
2722,0
2723,7
2724,0
2725,7
2726,1
2727,4
2728,0
2729,7
2730,4
2731,6
2732,1
2733,7
2734,1
2735,0
2736,7
2737,4
2738,9
2739,5
2740,7
2741,4
2742,4
2743,6
2744,2
2745,7
2746,0
2747,0
2748,0
2749,0
2750,4
2751,0
2752,4
2753,1
2754,1
2755,0
2756,1
2757,9
2758,6
2759,5
2760,2
2761,0
2762,0
2763,0
2764,1
2765,6
2766,4
2767,1
2768,6
2769,9
2770,4
2771,4
2772,7
2773,4
2774,1
2775,5
2776,1
2777,4
2778,0
2779,5
2780,6
2781,2
2782,5
2783,5
2784,1
2785,4
2786,1
2787,7
2788,0
2789,7
2790,0
2791,4
2792,1
2793,2
2794,2
2795,7
2796,4
2797,9
2798,7
2799,7
2800,1
2801,5
2802,1
2803,5
2804,0
2805,0
2806,1
2807,2
2808,0
2809,0
2810,1
2811,7
2812,1
2813,7
2814,1
2815,2
2816,4
2817,4
2818,4
2819,9
2820,3
2821,0
2822,6
2823,2
2824,7
2825,7
2826,0
2827,1
2828,0
2829,6
2830,7
2831,6
2832,4
2833,4
2834,5
2835,1
2836,5
2837,2
2838,7
2839,9
2840,1
2841,5
2842,0
2843,7
2844,6
2845,4
2846,7
2847,1
2848,1
2849,0
2850,4
2851,7
2852,0
2853,7
2854,7
2855,5
2856,4
2857,7
2858,0
2859,0
2860,9
2861,7
2862,7
2863,4
2864,4
2865,7
2866,6
2867,5
2868,9
2869,5
2870,2
2871,6
2872,5
2873,4
2874,1
2875,4
2876,5
2877,4
2878,1
2879,4
2880,1
2881,7
2882,1
2883,4
2884,7
2885,6
2886,2
2887,5
2888,4
2889,1
2890,7
2891,9
2892,4
2893,6
2894,7
2895,7
2896,0
2897,1
2898,9
2899,1
2900,7
2901,1
2902,5
2903,0
2904,7
2905,4
2906,4
2907,6
2908,4
2909,7
2910,0
2911,4
2912,0
2913,6
2914,1
2915,1
2916,1
2917,0
2918,0
2919,0
2920,6
2921,7
2922,1
2923,7
2924,5
2925,1
2926,1
2927,7
2928,7
2929,5
2930,7
2931,1
2932,5
2933,9
2934,7
2935,4
2936,7
2937,0
2938,5
2939,4
2940,5
2941,5
2942,2
2943,0
2944,0
2945,1
2946,1
2947,9
2948,5
2949,2
2950,4
2951,4
2952,0
2953,0
2954,0
2955,1
2956,8
2957,6
2958,5
2959,1
2960,7
2961,0
2962,7
2963,6
2964,4
2965,5
2966,5
2967,2
2968,0
2969,2
2970,4
2971,7
2972,7
2973,7
2974,9
2975,4
2976,4
2977,9
2978,1
2979,2
2980,4
2981,4
2982,1
2983,7
2984,7
2985,7
2986,5
2987,5
2988,2
2989,9
2990,4
2991,7
2992,2
2993,4
2994,4
2995,7
2996,5
2997,2
